planner,scenario,query_id,run,seed,success,planning_time_s,solve_time_s,error,num_waypoints,joint_path_length,cartesian_path_length,smoothness_geom,smoothness_jerk,clearance,path_valid
moveit:RRTstar,empty,19,0,42,True,10.002943428000435,10.002943428000435,,13,2.514770205443652,0.9574309383018441,6.089186610836424e-14,1724.5179980314385,inf,True
moveit:RRTstar,empty,19,1,42,True,10.002789735997794,10.002789735997794,,13,2.514770205443652,0.9574309383018438,8.617629085584034e-14,1724.5179980314515,inf,True
moveit:RRTstar,empty,19,2,42,True,10.005496458994457,10.005496458994457,,13,2.514770205443652,0.957430938301844,6.089186610836424e-14,1724.5179980314385,inf,True
moveit:RRTstar,empty,1,0,42,True,10.01023545600765,10.01023545600765,,24,7.346643886291325,2.3766460661171713,2.664974233934837e-13,1410.3310531529962,inf,True
moveit:RRTstar,empty,1,1,42,True,10.009082321994356,10.009082321994356,,24,7.346643886291324,2.376646066117171,2.4994215198346766e-13,1410.3310531529849,inf,True
moveit:RRTstar,empty,1,2,42,True,10.008555496999179,10.008555496999179,,24,7.346643886291324,2.376646066117171,2.865260448512136e-13,1410.3310531529733,inf,True
moveit:RRTstar,empty,2,0,42,True,10.003983050002716,10.003983050002716,,18,5.292203264374581,2.3085427742363254,1.594076341198593e-13,1555.9990677742303,inf,True
moveit:RRTstar,empty,2,1,42,True,10.003777991994866,10.003777991994866,,18,5.292203264374581,2.3085427742363254,3.456418723254942e-12,1555.9990677742348,inf,True
moveit:RRTstar,empty,2,2,42,True,10.004403176993947,10.004403176993947,,18,5.292203264374581,2.3085427742363254,1.594076341198593e-13,1555.9990677742303,inf,True
moveit:RRTstar,empty,3,0,42,True,10.013849253009539,10.013849253009539,,26,7.417893284789929,1.7715869987635269,9.671693903660175,6090.246928658083,inf,True
moveit:RRTstar,empty,3,1,42,True,10.015537737010163,10.015537737010163,,29,7.770297610086576,1.7379744135200281,25.592794667489223,6254.125120158195,inf,True
moveit:RRTstar,empty,3,2,42,True,10.023085897002602,10.023085897002602,,29,7.664714676751222,1.6222629688601296,13.85935503653606,6023.5511390761685,inf,True
moveit:RRTstar,empty,4,0,42,True,10.010731033995398,10.010731033995398,,18,4.517807450008018,1.1553087397443023,1.2137088704706953e-12,919.4752943578766,inf,True
moveit:RRTstar,empty,4,1,42,True,10.004349068010924,10.004349068010924,,18,4.517807450008019,1.1553087397443027,1.0443524264777522e-12,919.4752943578752,inf,True
moveit:RRTstar,empty,4,2,42,True,10.009759779000888,10.009759779000888,,18,4.517807450008018,1.1553087397443023,3.044506660068666e-14,919.4752943578724,inf,True
moveit:RRTstar,empty,5,0,42,True,10.006014280006639,10.006014280006639,,17,3.710122612512576,1.6723600017465006,1.4081745114743476e-12,935.4491432878885,inf,True
moveit:RRTstar,empty,5,1,42,True,10.004509247999522,10.004509247999522,,17,3.710122612512576,1.6723600017465006,1.1476950002977378e-12,935.4491432878787,inf,True
moveit:RRTstar,empty,5,2,42,True,10.004033826990053,10.004033826990053,,17,3.710122612512576,1.6723600017465006,8.169599297676388e-13,935.4491432878784,inf,True
